deviceid,interfaceindex,recordtime,avgdiscards_percent,avgerrors_percent,avgintraffic_bps,avgouttraffic_bps,count,maxdiscards_percent,maxerrors_percent,maxintraffic_bps,maxouttraffic_bps,mindiscards_percent,minerrors_percent,minintraffic_bps,minouttraffic_bps,sumdiscards_percent,sumerrors_percent,sumintraffic_bps,sumouttraffic_bps
1,1,2024-12-24 15:00:00.000+0000,0.01,0,73346694,1830089496.688889980316,45,0.01,0,73358178,1892217420,0.01,0,73335210,1770169914,0.45,0,3300601230,82354027351
1,1,2024-12-25 10:00:00.000+0000,0.01,0,73949082,2826349842.235290050507,17,0.01,0,73953258,2835922514,0.01,0,73944906,2816991838,0.17,0,1257134394,48047947318
1,1,2024-12-25 12:00:00.000+0000,0.01,0,74008641.176470592618,2943710127.64705991745,51,0.01,0,74015898,2958915822,0.01,0,74005980,2938781308,0.51,0,3774440700,150129216510
1,1,2024-12-25 15:00:00.000+0000,0.01,0,74088603.521739095449,3102387072.643479824066,115,0.01,0,74109858,3146294073,0.01,0,74079582,3083478575,1.15,0,8520189405,356774513354
1,1,2024-12-25 18:00:00.000+0000,0.01,0,74185243.842519700527,3304255743.5669298172,127,0.01,0,74203818,3331772973,0.01,0,74174586,3285735656,1.27,0,9421525968,419640479433
1,1,2024-12-26 10:00:00.000+0000,0.01,0,74691888,3961822364.333330154419,51,0.01,0,74704938,4014950464,0.01,0,74678838,3917923420,0.51,0,3809286288,202052940581
1,1,2024-12-26 11:00:00.000+0000,0.01,0,74721120,4100887887.389830112457,59,0.01,0,74736258,4183078016,0.01,0,74705982,4019613464,0.59,0,4408546080,241952385356
1,1,2024-12-26 13:00:00.000+0000,0.113275862069,0,74783935.5,153004447.862069010735,58,0.15,0,74798637,215234143,0.09,0,74768883,87934823,6.57,0,4337468259,8874257976
1,1,2024-12-26 16:00:00.000+0000,0.0389655172414,0,74877720,584958028.568966031075,58,0.04,0,74892597,656369317,0.03,0,74862843,509960857,2.26,0,4342907760,33927565657
1,1,2024-12-26 18:00:00.000+0000,0.03,0,74934375.315789505839,821079825.780701994896,114,0.03,0,74955237,900116204,0.03,0,74925222,784341834,3.42,0,8542518786,93603100139
1,1,2024-12-30 10:00:00.000+0000,0.03,0,77709570,697178424.875,8,0.03,0,77711397,703535114,0.03,0,77707743,690740896,0.24,0,621676560,5577427399
1,1,2024-12-30 11:00:00.000+0000,0.03,0,77727579,774391124.491525053978,59,0.03,0,77742717,848688328,0.03,0,77712441,707086522,1.77,0,4585927161,45689076345
1,1,2024-12-30 14:00:00.000+0000,0.02,0,77832077.409836098552,1273229090.262300014496,61,0.02,0,77836938,1296212802,0.02,0,77827803,1253753138,1.22,0,4747756722,77666974506
1,1,2024-12-30 17:00:00.000+0000,0.01,0,77925758.307692304254,1732572774.400000095367,65,0.01,0,77930898,1751011571,0.01,0,77921241,1715583344,0.65,0,5065174290,112617230336
1,1,2025-01-02 11:00:00.000+0000,0,0,561442273.828570961952,1477321947,35,0,0,561454511,1546901669,0,0,561425801,1387468683,0,0,19650479584,51706268145
1,1,2025-01-02 13:00:00.000+0000,0,0,561492617,1777708506.739130020142,23,0,0,561498359,1805569789,0,0,561486875,1747176154,0,0,12914330191,40887295655
1,1,2025-01-02 14:00:00.000+0000,0,0,561542384.346153974533,1994551255.474359989166,78,0,0,561548993,2026036339,0,0,561540119,1982055558,0,0,43800305979,155574997927
1,1,2025-01-02 15:00:00.000+0000,0,0,561564653,2120268016.881360054016,59,0,0,561579791,2217192154,0,0,561549515,2028181570,0,0,33132314527,125095812996
1,1,2025-01-03 13:00:00.000+0000,0,0,562244442.674419045448,3865960964.139540195465,43,0,0,562254476,3908736154,0,0,562238555,3835852127,0,0,24176511035,166236321458
1,1,2025-01-03 14:00:00.000+0000,0,0,562298846,4088402677.714290142059,7,0,0,562300412,4096106701,0,0,562297280,4080511407,0,0,3936091922,28618818744
1,1,2025-01-03 15:00:00.000+0000,0,0,562316594,4183401908.525420188904,59,0,0,562331732,4265609620,0,0,562301456,4102295544,0,0,33176679046,246820712603
1,1,2025-01-06 15:00:00.000+0000,0,0,69,711143,1,0,0,69,711143,0,0,69,711143,0,0,69,711143
1,1,2025-01-06 16:00:00.000+0000,0,0,1877,18717305,6,0,0,139,1283355,0,0,487,4886618,0,0,312.833333333333,3119550.833333333489
1,1,2025-01-06 18:00:00.000+0000,0,0,3388077396,25341414890,6,0,0,564678261,4217802704,0,0,564680871,4229175033,0,0,564679566,4223569148.333333492279
1,1,2025-01-06 19:00:00.000+0000,0,0,5082154983,38180372907,9,0,0,564681393,4231457608,0,0,564686091,4251680640,0,0,564683887,4242263656.333333492279
1,1,2025-01-07 10:00:00.000+0000,0,0,2825862975,4055678758,21,0,0,565171551,803557203,0,0,565173639,819015012,0,0,565172595,811135751.600000023842
1,2,2024-12-18 11:00:00.000+0000,0.02,0,159805918,2255977213.38094997406,42,0.02,0,159816619,2332540807,0.02,0,159795217,2180689046,0.84,0,6711848556,94751042962
1,2,2024-12-18 15:00:00.000+0000,0.02,0,159930937,3031983469.255809783936,43,0.02,0,159941899,3112618412,0.02,0,159919975,2951320432,0.86,0,6877030291,130375289178
1,2,2024-12-19 10:00:00.000+0000,0.1265217391304,0,160525234,299512611.065217018127,46,0.15,0,160536979,367987226,0.11,0,160513489,237475394,5.82,0,7384160764,13777580109
